tier,enhance_level,success_rate,gold_cost,stone_cost,break_on_fail,downgrade_on_fail
T1,1,100,2000,3,false,false
T1,2,100,3000,4,false,false
T1,3,100,4500,5,false,false
T1,4,95,6000,6,false,false
T1,5,90,8000,7,false,false
T1,6,85,10000,8,false,false
T1,7,80,12500,9,false,false
T1,8,75,15000,10,false,false
T1,9,70,17500,11,false,false
T1,10,65,20000,12,false,false
T1,11,25,21500,14,false,false
T1,12,20,22500,16,false,false
T1,13,17,23000,18,false,false
T1,14,15,23500,20,false,false
T1,15,12,24000,23,false,false
T1,16,10,24500,26,false,false
T1,17,10,25000,30,false,false
T1,18,5,25500,35,false,false
T1,19,2,26000,41,false,false
T1,20,1,26500,48,false,false
T1,21,2,27000,56,false,false
T1,22,1,27000,64,false,false
T1,23,0.5,27000,72,false,false
T1,24,0.15,27000,79,false,false
T1,25,0.05,27000,86,false,false
T2,1,100,100,1,false,false
T2,2,100,150,1,false,false
T2,3,100,220,1,false,false
T2,4,100,300,2,false,false
T2,5,100,420,2,false,false
T2,6,95,580,2,false,false
T2,7,90,760,3,false,false
T2,8,85,980,4,false,false
T2,9,80,1150,4,false,false
T2,10,75,1200,5,false,false
T2,11,70,1600,6,false,false
T2,12,65,2000,7,false,false
T2,13,60,2400,8,false,false
T2,14,55,2700,9,false,false
T2,15,50,3000,10,false,false
T2,16,35,4200,12,false,false
T2,17,25,5600,14,false,false
T2,18,15,7200,17,false,false
T2,19,10,9200,21,false,false
T2,20,5,12000,25,false,false
T2,21,4,16000,30,false,false
T2,22,3,22000,36,false,false
T2,23,2,30000,43,false,false
T2,24,1,39000,51,false,false
T2,25,0.5,50000,60,false,false
