pool_id,option_code,grade,slot_type,class_filter,weapon_filter,tag_filter,value_min,value_max,weight
t1_weapon_pool,attack_percent,COMMON,weapon,all,,,2,4,10
t1_weapon_pool,general_damage_increase,COMMON,weapon,all,,,1,2,10
t1_weapon_pool,boss_damage_increase,EPIC,weapon,all,,,2,5,4
t1_armor_pool,max_hp_percent,COMMON,armor,all,,,2,4,10
t1_armor_pool,damage_reduction,COMMON,armor,all,,,1,2,8
t1_accessory_pool,move_speed_percent,COMMON,accessory,all,,,1,2,10
t1_accessory_pool,resource_gain_percent,COMMON,accessory,all,,,1,2,8
t2_weapon_pool,attack_percent,RARE,weapon,all,,,3,6,10
t2_weapon_pool,general_damage_increase,RARE,weapon,all,,,2,4,10
t2_weapon_pool,core_tag_damage_increase,EPIC,weapon,all,,,3,5,8
t2_weapon_pool,precision_tag_damage_increase,EPIC,weapon,all,,,3,5,8
t2_weapon_pool,boss_damage_increase,EPIC,weapon,all,,,2,5,4
t2_weapon_pool,crack_efficiency,UNIQUE,weapon,warrior,,,6,10,6
t2_weapon_pool,resonance_effect_up,UNIQUE,weapon,mage,,,6,10,6
t2_weapon_pool,mark_target_damage_increase,UNIQUE,weapon,assassin,,,6,10,6
t2_weapon_pool,conditional_damage_bonus,LEGENDARY,weapon,all,,,10,14,4
t2_armor_pool,max_hp_percent,RARE,armor,all,,,4,7,10
t2_armor_pool,damage_reduction,RARE,armor,all,,,2,4,10
t2_armor_pool,status_resistance_percent,EPIC,armor,all,,,4,7,8
t2_armor_pool,recovery_efficiency,EPIC,armor,all,,,4,7,8
t2_armor_pool,shield_efficiency,UNIQUE,armor,all,,,6,10,6
t2_armor_pool,survival_trigger_reduction,LEGENDARY,armor,all,,,8,12,4
t2_accessory_pool,general_damage_increase,RARE,accessory,all,,,2,4,10
t2_accessory_pool,move_speed_percent,RARE,accessory,all,,,2,4,10
t2_accessory_pool,core_tag_damage_increase,EPIC,accessory,all,,,3,5,8
t2_accessory_pool,combo_tag_damage_increase,EPIC,accessory,all,,,3,5,8
t2_accessory_pool,resource_gain_percent,UNIQUE,accessory,all,,,6,9,6
t2_accessory_pool,playstyle_completion_boost,LEGENDARY,accessory,all,,,10,14,4
