boss_id,boss_name,boss_tier,theme_type,is_party_content,is_extreme
plains_predator,들판 포식자,field,beast,false,false
mine_golem,폐광 골렘,field,earth,false,false
waterway_lord,수로 군주,field,water,false,false
outpost_knight,초소 기사장,field,dark,false,false
rift_watcher,균열 파수꾼,field,rift,false,false
fallen_knight,타락 기사장,season1,dark,true,false
corrupted_lord,오염된 군주,season2,corrupt,true,false
stone_colossus,석조 거상,season3,earth,true,false
storm_sorcerer,폭풍 술사,season4,storm,true,false
abyss_guardian,심연 수호자,season5,abyss,true,false
void_herald,공허 사자,season6,void,true,false
rift_king,균열왕,final,rift,true,false
corrupted_dyad,타락한 이중체,final,corrupt,true,false
spirit_watcher,진혼의 주시자,final,spirit,true,false
