pool_id,option_code,grade,slot_type,class_filter,weapon_filter,tag_filter,value_min,value_max,weight
# 정본: docs/02_database_api_stats/potential_options_v1.md (2026-05-24 재확정) / 3단계 슬롯별 풀 완전 분리 DL-129 추가#2.
# 가중치: 희귀=2, 보통=3 (정본 §6 희귀1:보통1.5 비율 보존). 폐기/금지 옵션 전부 제거.
# 슬롯별 풀: weapon/head/chest/legs/feet — item_master slot_type 세분(armor→head/chest/legs/feet)과 동기. resolvePoolId=tier_slotType_pool.
# 머리/상의/하의=받피감(damage_reduction) 유니크+ 전용. 신발=받피감 없음(이동테마). ATK%는 무기·신발만, 치명확률%는 무기·머리만.
# 이 파일은 scripts 생성기로 결정론적 재작성됨(gen_pool.py). 수치 변경 시 정본 §2 동기.
t1_weapon_pool,attack_percent,COMMON,weapon,all,,,1,2,2
t1_weapon_pool,attack_percent,RARE,weapon,all,,,3,5,2
t1_weapon_pool,attack_percent,EPIC,weapon,all,,,8,12,2
t1_weapon_pool,attack_percent,UNIQUE,weapon,all,,,12,15,2
t1_weapon_pool,attack_percent,LEGENDARY,weapon,all,,,16,21,2
t1_weapon_pool,defense_ignore,COMMON,weapon,all,,,1,2,2
t1_weapon_pool,defense_ignore,RARE,weapon,all,,,2,4,2
t1_weapon_pool,defense_ignore,EPIC,weapon,all,,,5,8,2
t1_weapon_pool,defense_ignore,UNIQUE,weapon,all,,,8,12,2
t1_weapon_pool,defense_ignore,LEGENDARY,weapon,all,,,13,18,2
t1_weapon_pool,general_damage_increase,COMMON,weapon,all,,,1,2,3
t1_weapon_pool,general_damage_increase,RARE,weapon,all,,,3,5,3
t1_weapon_pool,general_damage_increase,EPIC,weapon,all,,,7,10,3
t1_weapon_pool,general_damage_increase,UNIQUE,weapon,all,,,11,14,3
t1_weapon_pool,general_damage_increase,LEGENDARY,weapon,all,,,15,20,3
t1_weapon_pool,boss_damage_increase,COMMON,weapon,all,,,1,2,2
